Country,Year,Cause,Sex,Total Deaths,Under 1 Yr Old,Age 1 Through 4,Age 5 Through 19,Age 20 Through 24,Age 25 Through 34,Age 35 Through 44,Age 45 Through 64,Age 65 Through 79,Age 80 and Above,Unspecified Age,Pop1,name
5150,2000,B209,2,0.001018278091746856,0.0,0.0,0.0,0.0,0.0,81.7473652054376,39.48882439794308,0.0,,0.0,1964100.0,New Zealand
5150,2000,B219,1,0.0010564403243271795,0.0,0.0,0.0,0.0,148.20801309986,0.0,0.0,0.0,,0.0,1893150.0,New Zealand
5150,2000,B227,1,0.002112880648654359,0.0,0.0,0.0,0.0,74.10400654993,155.30729207933868,62.79481287800755,0.0,,0.0,1893150.0,New Zealand
5150,2000,B227,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,0.0,60.91848683875566,0.0,,0.0,1964100.0,New Zealand
5150,2000,B238,1,0.0005282201621635898,0.0,0.0,0.0,0.0,0.0,75.28721971317646,0.0,0.0,,0.0,1893150.0,New Zealand
5150,2000,B332,1,0.0005282201621635898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.86419459630774,,0.0,1893150.0,New Zealand
5150,2000,B349,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1964100.0,New Zealand
5150,2000,B371,1,0.0005282201621635898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.86419459630774,,0.0,1893150.0,New Zealand
5150,2000,B441,1,0.0010564403243271795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.902543380080818,,0.0,1893150.0,New Zealand
5150,2000,B670,1,0.0010564403243271795,0.0,0.0,0.0,0.0,0.0,0.0,48.73887436283443,29.902543380080818,,0.0,1893150.0,New Zealand
5150,2000,B901,1,0.0005282201621635898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.902543380080818,,0.0,1893150.0,New Zealand
5150,2000,B902,1,0.0005282201621635898,0.0,0.0,0.0,0.0,0.0,75.28721971317646,0.0,0.0,,0.0,1893150.0,New Zealand
5150,2000,B909,1,0.002112880648654359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.429891978976837,,0.0,1893150.0,New Zealand
5150,2000,B909,2,0.0035639733211139963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.64054783361336,,0.0,1964100.0,New Zealand
5150,2000,B91,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.686981314597016,,0.0,1964100.0,New Zealand
5150,2000,B948,1,0.0005282201621635898,0.0,0.0,82.1382352164382,0.0,0.0,0.0,0.0,0.0,,0.0,1893150.0,New Zealand
5150,2000,B948,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,75.4034926938547,0.0,0.0,,0.0,1964100.0,New Zealand
5150,2000,C001,1,0.0005282201621635898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.429891978976837,,0.0,1893150.0,New Zealand
5150,2000,C004,1,0.0005282201621635898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.429891978976837,,0.0,1893150.0,New Zealand
5150,2000,C01,1,0.004753981459472308,0.0,0.0,0.0,0.0,0.0,0.0,230.11383144494624,131.49512716900404,,0.0,1893150.0,New Zealand
5150,2000,C01,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.035945216638666,,0.0,1964100.0,New Zealand
5150,2000,C021,1,0.002112880648654359,0.0,0.0,0.0,0.0,0.0,0.0,62.79481287800755,64.28967593693051,,0.0,1893150.0,New Zealand
5150,2000,C021,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,0.0,47.54849549411944,0.0,,0.0,1964100.0,New Zealand
5150,2000,C022,2,0.001018278091746856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.37396262919403,,0.0,1964100.0,New Zealand
5150,2000,C023,1,0.0015846604864907692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.66928135646938,,0.0,1893150.0,New Zealand
5150,2000,C028,1,0.0005282201621635898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.902543380080818,,0.0,1893150.0,New Zealand
5150,2000,C028,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.953566519016345,,0.0,1964100.0,New Zealand
5150,2000,C029,1,0.0031693209729815384,0.0,0.0,0.0,0.0,0.0,80.02007236616222,48.73887436283443,119.06082455167314,,0.0,1893150.0,New Zealand
5150,2000,C029,2,0.002036556183493712,0.0,0.0,0.0,0.0,0.0,0.0,39.48882439794308,83.06094394379105,,0.0,1964100.0,New Zealand
5150,2000,C030,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.953566519016345,,0.0,1964100.0,New Zealand
5150,2000,C031,2,0.001018278091746856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.953566519016345,,0.0,1964100.0,New Zealand
5150,2000,C039,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1964100.0,New Zealand
5150,2000,C040,1,0.0010564403243271795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.766737976388555,,0.0,1893150.0,New Zealand
5150,2000,C040,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1964100.0,New Zealand
5150,2000,C041,1,0.0010564403243271795,0.0,0.0,0.0,0.0,0.0,0.0,48.73887436283443,33.86419459630774,,0.0,1893150.0,New Zealand
5150,2000,C041,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.035945216638666,,0.0,1964100.0,New Zealand
5150,2000,C049,1,0.0010564403243271795,0.0,0.0,0.0,0.0,0.0,0.0,62.79481287800755,33.86419459630774,,0.0,1893150.0,New Zealand
5150,2000,C049,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.686981314597016,,0.0,1964100.0,New Zealand
5150,2000,C050,1,0.0005282201621635898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1893150.0,New Zealand
5150,2000,C051,1,0.0015846604864907692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.332435359057655,,0.0,1893150.0,New Zealand
5150,2000,C051,2,0.000509139045873428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1964100.0,New Zealand
5150,2000,C059,1,0.0015846604864907692,0.0,0.0,0.0,0.0,0.0,0.0,88.26558909753585,21.429891978976837,,0.0,1893150.0,New Zealand
5150,2000,C060,2,0.001018278091746856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1964100.0,New Zealand
5150,2000,C068,1,0.0005282201621635898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.86419459630774,,0.0,1893150.0,New Zealand
5150,2000,C069,1,0.0005282201621635898,0.0,0.0,0.0,0.0,0.0,0.0,39.52671473470142,0.0,,0.0,1893150.0,New Zealand
5150,2000,C07,1,0.005810421783799488,0.0,0.0,0.0,0.0,0.0,75.28721971317646,137.0044634603703,106.62652193434224,,0.0,1893150.0,New Zealand
5150,2000,C07,2,0.0030548342752405684,0.0,0.0,0.0,0.0,0.0,75.4034926938547,0.0,63.90713303803269,,0.0,1964100.0,New Zealand
5150,2000,C080,1,0.0010564403243271795,0.0,0.0,0.0,0.0,0.0,0.0,39.52671473470142,33.86419459630774,,0.0,1893150.0,New Zealand
5150,2000,C090,1,0.002641100810817949,0.0,0.0,0.0,0.0,0.0,0.0,48.73887436283443,123.02247576790006,,0.0,1893150.0,New Zealand
5150,2000,C099,1,0.0031693209729815384,0.0,0.0,0.0,0.0,0.0,75.28721971317646,199.79927633837784,0.0,,0.0,1893150.0,New Zealand
5150,2000,C099,2,0.001018278091746856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.686981314597016,,0.0,1964100.0,New Zealand
5150,2000,C100,1,0.0010564403243271795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.86419459630774,,0.0,1893150.0,New Zealand
5150,2000,C101,1,0.0005282201621635898,0.0,0.0,0.0,0.0,0.0,0.0,39.52671473470142,0.0,,0.0,1893150.0,New Zealand
5150,2000,C109,1,0.0010564403243271795,0.0,0.0,0.0,0.0,0.0,0.0,62.79481287800755,33.86419459630774,,0.0,1893150.0,New Zealand
5150,2000,C109,2,0.000509139045873428,0.0,0.0,72.94435110228603,0.0,0.0,0.0,0.0,0.0,,0.0,1964100.0,New Zealand
5150,2000,C111,1,0.0015846604864907692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.66928135646938,,0.0,1893150.0,New Zealand
